"Year","sublime_raw_freq","sublime_raw_prob","sublime_smoothed_avg_3","sublime_smoothed_avg_5","sublime_smoothed_avg_7","sublime_smoothed_avg_9","sublime_smoothed_avg_11","grotesque_raw_freq","grotesque_raw_prob","grotesque_smoothed_avg_3","grotesque_smoothed_avg_5","grotesque_smoothed_avg_7","grotesque_smoothed_avg_9","grotesque_smoothed_avg_11","beautiful_raw_freq","beautiful_raw_prob","beautiful_smoothed_avg_3","beautiful_smoothed_avg_5","beautiful_smoothed_avg_7","beautiful_smoothed_avg_9","beautiful_smoothed_avg_11","picturesque_raw_freq","picturesque_raw_prob","picturesque_smoothed_avg_3","picturesque_smoothed_avg_5","picturesque_smoothed_avg_7","picturesque_smoothed_avg_9","picturesque_smoothed_avg_11","arabesque_raw_freq","arabesque_raw_prob","arabesque_smoothed_avg_3","arabesque_smoothed_avg_5","arabesque_smoothed_avg_7","arabesque_smoothed_avg_9","arabesque_smoothed_avg_11","aesthetic_raw_freq","aesthetic_raw_prob","aesthetic_smoothed_avg_3","aesthetic_smoothed_avg_5","aesthetic_smoothed_avg_7","aesthetic_smoothed_avg_9","aesthetic_smoothed_avg_11"
1660,80,7.49794368894331,7.38284368300315,8.78970771009952,9.7227420144874,10.2989999593681,11.2144527241363,0,0,0,0.0869171218299044,0.122105318316297,0.136465890772702,0.307247513731874,805,75.448058369992,109.168545153267,123.277877885353,130.308530581687,145.394140388314,146.242745233127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1661,56,7.267743677063,8.78970771009952,9.7227420144874,10.2989999593681,11.2144527241363,11.690879983358,0,0,0.0869171218299044,0.122105318316297,0.136465890772702,0.307247513731874,0.302571840715429,1101,142.889031936542,123.277877885353,130.308530581687,145.394140388314,146.242745233127,147.900601129057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1662,89,11.6034357642922,10.4643414563354,10.2989999593681,11.2144527241363,11.690879983358,11.4395474833131,2,0.260751365489713,0.162807091088396,0.136465890772702,0.307247513731874,0.302571840715429,0.302563719934591,1162,151.496543349523,148.595354652252,145.394140388314,146.242745233127,147.900601129057,145.181196819607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1663,55,12.5218449276511,12.2431041436114,11.9577545311749,11.690879983358,11.4395474833131,11.5591416725992,1,0.227669907775474,0.227443151287837,0.368697016478249,0.302571840715429,0.302563719934591,0.268945528830747,665,151.40048867069,169.544537211678,160.401682605754,147.900601129057,145.181196819607,147.052614088264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1664,65,12.604031738891,13.6391977381731,13.4140945034999,12.0026337396517,11.5591416725992,13.173588423235,1,0.193908180598323,0.527577905633844,0.423600577001601,0.345787108496675,0.268945528830747,0.242050975947673,1061,205.736579614821,169.207612580902,163.393423519373,155.143073740981,147.052614088264,146.60719492349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1665,68,15.7917165479772,14.3150639418521,13.0294513472413,12.7523696696266,13.8042156159341,13.0960536329431,5,1.16115562852774,0.543193870580939,0.431951678797403,0.345787108496675,0.268945528830747,0.240411144630156,648,150.485769457195,171.356695192217,158.32318818016,157.876633783978,154.513765651657,146.740402802423,0,0,0,0,0,0,0.0814592114381766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1666,53,14.5494435386882,13.3404600232215,13.0282613990886,15.0523944431502,14.3656558440409,13.2962974819293,1,0.274517802616759,0.579393435204406,0.386417697242308,0.308536913426716,0.293835843436857,0.297924737680305,575,157.847736504636,144.826290871763,160.447880893526,156.605473654121,155.089704502235,152.630334864601,0,0,0,0,0,0.0995612584244381,0.0814592114381766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667,32,9.68021998299911,12.2485195695249,16.0481768871018,15.0236602720606,14.1542325399853,13.7587591136399,1,0.302506874468722,0.192341559028494,0.347636061122643,0.308014473952361,0.335157860999294,0.314688403387062,417,126.145366653457,148.672351798539,147.820249458667,156.130044071415,153.838678691616,151.944953499129,0,0,0,0,0.128007332259992,0.0995612584244381,0.0814592114381766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1668,55,12.5158951868873,16.6332414496146,15.3539747235113,14.6088880276179,14.135674395344,14.025880651367,0,0,0.100835624822907,0.160207501708093,0.370691808659978,0.330350129332499,0.30635558652361,712,162.023952237523,143.589247110502,147.337591885577,146.773005705576,152.055272941134,152.191670153942,0,0,0,0.179210265163989,0.128007332259992,0.0995612584244381,0.0814592114381766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669,129,27.7036091789574,17.5134033652896,14.384211221332,14.1179030387468,14.3509789442772,14.1660145596408,0,0,0.0746709438183286,0.23183384589507,0.231155336409491,0.327592595931768,0.285658322180385,664,142.598422440525,150.898285423265,143.81550679544,144.610729628313,146.330144823094,152.238767344183,0,0,0.298683775273314,0.179210265163989,0.128007332259992,0.0995612584244381,0.0814592114381766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
