"Term","NObs","FreqObs","Obs.Exp","pValue","PMI_Term","PMI","NPMI","Stopword"
"arabesk",9,0.000923171607344343,Inf,0.0038990412359657,"arabesk",18.5856433716859,1.06096756975523,FALSE
"grotesque",25,0.00256436557595651,Inf,5.86934389680303e-08,"grotesque",13.3923161737844,0.810651702677052,FALSE
"arabesque",6,0.000615447738229562,Inf,0.0312259615393469,"arabesque",14.553816669694,0.792388041635899,FALSE
"arabic",53,0.0054364550210278,Inf,2.06854050440864e-16,"arabic",12.4372335215877,0.787343947467596,FALSE
"arabian",43,0.00441070879064519,Inf,2.17061595603071e-13,"arabian",12.4426783676792,0.775461699028833,FALSE
"glandes",7,0.000718022361267822,Inf,0.0156081748039122,"glandes",13.7396687941559,0.773005173742579,FALSE
"paintings",22,0.00225664170684173,Inf,4.71215061321688e-07,"paintings",11.9070928368557,0.717938081424628,FALSE
"ornaments",42,0.00430813416760693,Inf,4.35062367781327e-13,"ornaments",11.4172198405512,0.715074916785986,FALSE
"moorish",10,0.0010257462303826,Inf,0.00194862033138211,"moorish",12.2662115523721,0.70170448755879,FALSE
"ceilings",6,0.000615447738229562,Inf,0.0312259615393469,"ceilings",12.4299508957255,0.69126830130368,FALSE
"arabians",18,0.00184634321468869,Inf,7.5697078951686e-06,"arabians",11.7990821865216,0.690763904791077,FALSE
"branched",14,0.00143604472253564,Inf,0.000121501527084179,"branched",11.8722081313692,0.686920483259532,FALSE
"inlaid",8,0.000820596984306083,Inf,0.00780128464110168,"inlaid",12.0642988591064,0.682889003926445,FALSE
"langue",17,0.00174376859165043,Inf,1.51526386668495e-05,"langue",11.4260507297999,0.675706402512668,FALSE
"panels",8,0.000820596984306083,Inf,0.00780128464110168,"panels",11.9213788300857,0.671315857924723,FALSE
"painted",34,0.00348753718330085,Inf,1.13107923959071e-10,"painted",10.7294452422383,0.661771392153352,FALSE
"ceiling",12,0.00123089547645912,Inf,0.000486630258243673,"ceiling",11.4200154761168,0.65593104851806,FALSE
"morocco",11,0.00112832085342086,Inf,0.000973810211788298,"morocco",11.3642428416168,0.652301880243539,FALSE
"mahometan",8,0.000820596984306083,Inf,0.00780128464110168,"mahometan",11.4791900353934,0.651607435209826,FALSE
"ornamented",9,0.000923171607344343,Inf,0.0038990412359657,"ornamented",11.0894070417505,0.633269100167856,FALSE
"solus",7,0.000718022361267822,Inf,0.0156081748039122,"solus",11.1987366953226,0.630622484147626,FALSE
"carved",11,0.00112832085342086,Inf,0.000973810211788298,"carved",11.0024806412325,0.628972326991921,FALSE
"curiosities",8,0.000820596984306083,Inf,0.00780128464110168,"curiosities",11.0979226315067,0.626055916732516,FALSE
"tales",16,0.00164119396861217,Inf,3.03301866338808e-05,"tales",10.6367659644257,0.625302559616803,FALSE
