"Term","NObs","FreqObs","Obs.Exp","pValue","PMI_Term","PMI","NPMI","Stopword"
"upgrew",16,8.18196694485354e-05,Inf,3.05082156722557e-05,"upgrew",15.326992101032,0.890281102735905,FALSE
"figures",919,0.00469951726395025,114.875,8.06482325991244e-261,"figures",10.7389827891355,0.837406507279245,FALSE
"stilted",29,0.00014829815087547,Inf,3.72142484782575e-09,"stilted",13.6324472113459,0.825992612590378,FALSE
"arabesque",25,0.000127843233513337,Inf,5.95589391408008e-08,"arabesque",13.3921005403604,0.810638650147522,FALSE
"mummery",62,0.000317051219113075,Inf,4.31588741346533e-19,"mummery",12.4755350119103,0.795746013720028,FALSE
"antic",119,0.000608533791523482,Inf,2.95570988484944e-36,"antic",11.8626185339901,0.794814629640058,FALSE
"escargot",7,3.57961053837343e-05,Inf,0.0156241610373607,"escargot",13.9932460603784,0.779489385831253,FALSE
"beechy",7,3.57961053837343e-05,Inf,0.0156241610373607,"beechy",13.8627613395469,0.776227296695719,FALSE
"carvings",42,0.000214776632302405,Inf,4.53747237699619e-13,"carvings",12.2494194747907,0.767452305794862,FALSE
"daubers",12,6.13647520864016e-05,Inf,0.000488198855570519,"daubers",13.084175777766,0.764892524362367,FALSE
"hollowed",94,0.000480690558010146,Inf,9.98517184174262e-29,"hollowed",11.5351957426402,0.763810418271625,FALSE
"figure",902,0.00461258386516118,47.4736842105263,6.06512986061494e-239,"figure",9.80476646555919,0.762265993132148,FALSE
"dwarfs",65,0.000332392407134675,Inf,5.39225221493449e-20,"dwarfs",11.8033442710751,0.760185699797928,FALSE
"fantastic",132,0.000675012272950417,132,2.40816232953924e-38,"fantastic",11.2878675333519,0.757087074766663,FALSE
"grotesque",88,0.000450008181966945,Inf,6.39939166714824e-27,"grotesque",11.5875083190276,0.756516710764755,FALSE
"burlesque",94,0.000480690558010146,Inf,9.98517184174262e-29,"burlesque",11.4944563074595,0.755839703723904,FALSE
"horselaugh",15,7.6705940108002e-05,Inf,6.10187716853938e-05,"horselaugh",12.7689481297579,0.751966625746169,FALSE
"grotesques",19,9.71608574701358e-05,Inf,3.81302967466792e-06,"grotesques",12.5876795417272,0.743335410515405,FALSE
"attitudes",77,0.000393757159221077,Inf,1.31362247177895e-23,"attitudes",11.2701852872999,0.736398454598632,FALSE
"caricatures",22,0.000112502045491736,Inf,4.76555588817804e-07,"caricatures",12.211267663168,0.732751028512765,FALSE
"marmoset",9,4.60235640648012e-05,Inf,0.00390589044963952,"marmoset",12.8962058880639,0.732330939611216,FALSE
"humid",102,0.000521600392734413,Inf,3.89268370143348e-31,"humid",11.2067547193208,0.731625075433326,FALSE
"foliages",17,8.69333987890689e-05,Inf,1.52534837675669e-05,"foliages",12.2674201346668,0.727336310560665,FALSE
"overgrown",78,0.00039887088856161,78,2.62723846135513e-22,"overgrown",11.0727124730259,0.72606740192382,FALSE
