"Term","NObs","FreqObs","Obs.Exp","pValue","PMI_Term","PMI","NPMI","Stopword"
"scenery",652,0.00249365113361686,652,2.33392027198564e-194,"scenery",12.4597674777419,0.940340508238481,FALSE
"romantic",422,0.00161398892390539,140.666666666667,2.49758162643066e-121,"romantic",10.9378943253632,0.79874042790343,FALSE
"divertingly",11,4.20708013340269e-05,Inf,0.000976459791421748,"divertingly",13.5837956403704,0.790081131269722,FALSE
"landscape",247,0.000944680720864058,247,1.03932284026206e-72,"landscape",10.9392549501436,0.7657319266334,FALSE
"grouping",26,9.94400758804271e-05,Inf,2.97838050820677e-08,"grouping",12.5519682630442,0.765540156472553,FALSE
"costume",105,0.000401584921824802,105,2.61086459775816e-30,"costume",10.9917484495806,0.730288409202532,FALSE
"beautiful",825,0.00315531010005201,39.2857142857143,1.07158936328563e-213,"beautiful",9.50874285966347,0.728069029948961,FALSE
"tourists",13,4.97200379402136e-05,Inf,0.000244104210801984,"tourists",12.4507078556835,0.726053968006629,FALSE
"tourist",14,5.35446562433069e-05,Inf,0.000122049071107904,"tourist",12.2600903897985,0.719266155398742,FALSE
"costumes",25,9.56154575773338e-05,Inf,5.95704582286056e-08,"costumes",11.7190200346425,0.709365237611835,FALSE
"groups",81,0.000309794082550561,81,3.41210861464887e-23,"groups",10.8501792149369,0.706041144973884,FALSE
"picturesque",88,0.000336566410672215,88,2.8873182180556e-25,"picturesque",10.7998478605417,0.699767134731453,FALSE
"aquatinta",6,2.29477098185601e-05,Inf,0.0312491036085136,"aquatinta",12.6261407514823,0.699356509912127,FALSE
"beauty",746,0.00285316525410764,24.8666666666667,3.40564197798811e-180,"beauty",9.11245649873359,0.696419430976055,FALSE
"beautifully",119,0.000455129578068109,119,1.79672162378017e-34,"beautifully",10.3751991126293,0.694047871854237,FALSE
"singularly",72,0.000275372517822721,72,1.55957819461782e-20,"singularly",10.5785809209529,0.689019912276993,FALSE
"architectural",21,8.03169843649604e-05,Inf,9.53291397061483e-07,"architectural",11.5011958122902,0.684233014310634,FALSE
"scene",613,0.00234449101979622,27.8636363636364,2.93945534362851e-151,"scene",9.12451813360773,0.683177211872081,FALSE
"diversified",69,0.000263898662913441,69,1.19755569834473e-19,"diversified",10.5742275032594,0.681475496122602,FALSE
"scenes",297,0.00113591163601873,42.4285714285714,2.57535905145573e-78,"scenes",9.56905689250808,0.681321439099579,FALSE
"views",358,0.00136921335250742,32.5454545454545,5.69266290161386e-91,"views",9.39147455718089,0.678762410444301,FALSE
"sketching",16,6.11938928494936e-05,Inf,3.05105756356541e-05,"sketching",11.5445830191895,0.677444837575814,FALSE
"imagery",57,0.000218003243276321,57,4.08190004481832e-16,"imagery",10.5509769825237,0.674133457892558,FALSE
"landscapes",55,0.000210354006670134,Inf,5.53537190588332e-17,"landscapes",10.5922890570742,0.672925343789873,FALSE
"strikingly",27,0.00010326469418352,Inf,1.48911620782586e-08,"strikingly",10.9809488642451,0.67005783922994,FALSE
"foreground",24,9.17908392742404e-05,Inf,1.19146384981529e-07,"foreground",11.1546659025103,0.66902424403704,FALSE
"cottages",91,0.000348040265581495,91,3.72756986813293e-26,"cottages",10.2067790569055,0.667243654321648,FALSE
"elizabethan",6,2.29477098185601e-05,Inf,0.0312491036085136,"elizabethan",11.9238117618849,0.661998946102562,FALSE
"wooded",43,0.000164458587033014,Inf,2.26981350080862e-13,"wooded",10.6643477055422,0.661415995276875,FALSE
"attitudes",48,0.000183581678548481,48,1.77268507776838e-13,"attitudes",10.4438932367371,0.661201816204936,FALSE
"striking",166,0.000634886638313496,41.5,4.48442399443713e-44,"striking",9.6669381504375,0.660647580617165,FALSE
"grouped",20,7.6492366061867e-05,Inf,1.90665571921569e-06,"grouped",11.1137674711689,0.658030298956714,FALSE
"mantic",15,5.73692745464003e-05,Inf,6.10229017413217e-05,"mantic",11.1913930006738,0.656417269115275,FALSE
"sublime",222,0.000849065263286724,37,8.32059770806245e-58,"sublime",9.43352492346433,0.656354050313291,FALSE
"group",94,0.000359514120490775,47,1.16621313671838e-25,"group",9.96188297119496,0.655464139216486,FALSE
"appearance",518,0.00198115228100236,17.8620689655172,4.90136152966519e-117,"appearance",8.76443207213179,0.651908643331474,FALSE
"romantically",10,3.82461830309335e-05,Inf,0.00195295693013179,"romantically",11.3295010862544,0.650093880286191,FALSE
"beauties",216,0.000826117553468164,30.8571428571429,7.27526213928738e-55,"beauties",9.29212159208521,0.647576997911902,FALSE
"effect",364,0.00139216106232598,19.1578947368421,6.0108169742685e-84,"effect",8.89519373484202,0.645705445896405,FALSE
"descriptive",44,0.000168283205336107,44,2.61028095106456e-12,"descriptive",10.2637169994341,0.643890891667441,FALSE
"descriptions",104,0.000397760303521709,52,1.38454247682813e-28,"descriptions",9.73140571950878,0.643646871625549,FALSE
"embosomed",16,6.11938928494936e-05,Inf,3.05105756356541e-05,"embosomed",10.9095292961033,0.640617375159787,FALSE
"view",650,0.00248600189701068,14.7727272727273,1.79688928245362e-139,"view",8.50468873278267,0.639558087100276,FALSE
"description",295,0.00112826239941254,21.0714285714286,1.14875908538617e-69,"description",8.94719493096721,0.637800422944986,FALSE
"sketches",32,0.000122387785698987,Inf,4.65219787910663e-10,"sketches",10.3489563145742,0.636661463611499,FALSE
"objects",234,0.000894960682923844,26,9.82350115370249e-58,"objects",9.10750709968463,0.636380471136136,FALSE
"rural",125,0.000478077287886669,41.6666666666667,2.02613837422686e-33,"rural",9.4664059348048,0.63388305933816,FALSE
"accompaniments",14,5.35446562433069e-05,Inf,0.000122049071107904,"accompaniments",10.8309135043118,0.631915886304027,FALSE
"interesting",142,0.000543095799039256,35.5,4.11370780063789e-37,"interesting",9.35248542160606,0.63063170162441,FALSE
"most",1394,0.00533151791451213,6.93532338308458,2.95230609733255e-220,"most",7.83125304276074,0.628721537008084,TRUE
"precipitous",18,6.88431294556803e-05,Inf,7.62716254966122e-06,"precipitous",10.6991070393367,0.628403389230313,FALSE
"hills",275,0.00105177003335067,25,3.38453683200735e-67,"hills",8.8886436896876,0.623177719854128,FALSE
"ruins",175,0.000669308203041336,25,3.86170399400071e-43,"ruins",9.07676976605721,0.622041341229554,FALSE
"background",15,5.73692745464003e-05,Inf,6.10229017413217e-05,"background",10.6354563079781,0.619724418437469,FALSE
"outline",39,0.000149160113820641,39,7.44782368699259e-11,"outline",9.95231451675017,0.619353779605898,FALSE
"cascades",24,9.17908392742404e-05,Inf,1.19146384981529e-07,"cascades",10.2912067901692,0.619000054056758,FALSE
"the",22455,0.0858818039959612,1.39247178469552,1.0540330148163e-246,"the",6.07959492278636,0.618920080250226,TRUE
"highly",257,0.000982926903894991,16.0625,3.86226954876823e-57,"highly",8.72456589633181,0.618672425810017,FALSE
"wildness",36,0.000137686258911361,36,5.52342961884923e-10,"wildness",9.94531004734548,0.616760670539075,FALSE
"poetical",108,0.000413058776734082,36,1.73843460424704e-28,"poetical",9.29567350662222,0.616133204819641,FALSE
"surrounding",90,0.000344215647278402,45,1.71566054163065e-24,"surrounding",9.46762971376938,0.615633441725879,FALSE
"undulating",18,6.88431294556803e-05,Inf,7.62716254966122e-06,"undulating",10.3654996937441,0.610821503574423,FALSE
"grotesque",28,0.000107089312486614,Inf,7.44519658645464e-09,"grotesque",10.0692264411362,0.610264833281756,FALSE
"wild",321,0.00122770247529297,14.5909090909091,2.93921755950491e-69,"wild",8.52290488019032,0.609615550765235,FALSE
"varied",94,0.000359514120490775,31.3333333333333,1.90596103276512e-24,"varied",9.28979071056736,0.609545133986689,FALSE
"healthiness",8,3.05969464247468e-05,Inf,0.00781208168757283,"healthiness",10.8313659881324,0.609101898200889,FALSE
"waterfall",13,4.97200379402136e-05,Inf,0.000244104210801984,"waterfall",10.405811393565,0.60875914878015,FALSE
"attitude",56,0.000214178624973228,56,8.02627488609888e-16,"attitude",9.52609444583344,0.608232571938011,FALSE
"pleasing",182,0.00069608053116299,20.2222222222222,5.01349312763827e-43,"pleasing",8.84126231911621,0.607363818277222,FALSE
"villas",32,0.000122387785698987,32,7.90919192011428e-09,"villas",9.9009898831517,0.605340822995214,FALSE
"object",264,0.00100969923201664,14.6666666666667,2.97449808198765e-57,"object",8.56691235880741,0.605169799090445,FALSE
"contrast",66,0.000252424808004161,33,1.58426309200863e-17,"contrast",9.44089530522432,0.604572892108591,FALSE
"lake",209,0.00079934522534651,20.9,1.36232920816026e-49,"lake",8.77744729460858,0.603835541525668,FALSE
"graphic",8,3.05969464247468e-05,Inf,0.00781208168757283,"graphic",10.6921462881086,0.60368920329654,FALSE
"foliage",47,0.000179757060245388,47,3.474768453583e-13,"foliage",9.67157663705176,0.602867348518199,FALSE
"valley",140,0.000535446562433069,23.3333333333333,2.7898264881293e-34,"valley",8.9673193494996,0.601632449636084,FALSE
"elegant",168,0.000642535874919683,21,4.15513994291872e-40,"elegant",8.82209217834153,0.601440322810731,FALSE
"scenic",8,3.05969464247468e-05,Inf,0.00781208168757283,"scenic",10.6640931646756,0.60078524888125,FALSE
"straggling",22,8.41416026680537e-05,Inf,4.76626556389464e-07,"straggling",10.0517172867622,0.600560918650262,FALSE
"banks",190,0.000726677477587737,21.1111111111111,2.84161896815283e-45,"banks",8.78914406822292,0.600528369134512,FALSE
"clumps",19,7.26677477587737e-05,Inf,3.81345000087726e-06,"clumps",10.1766391112119,0.599563554831306,FALSE
"prospect",107,0.000409234158430989,26.75,4.74151544008817e-27,"prospect",9.07016388589837,0.598717023916818,FALSE
"islets",8,3.05969464247468e-05,Inf,0.00781208168757283,"islets",10.6285231081177,0.598512656169616,FALSE
"cascade",25,9.56154575773338e-05,Inf,5.95704582286056e-08,"cascade",9.93665188436225,0.597208219067632,FALSE
"village",223,0.000852889881589817,17.1538461538462,1.48927376457749e-50,"village",8.60551315433214,0.597102570868586,FALSE
"contrasts",15,5.73692745464003e-05,Inf,6.10229017413217e-05,"contrasts",10.2093829333365,0.596833978440721,FALSE
"embellishment",12,4.58954196371202e-05,Inf,0.00048821962538336,"embellishment",10.2441358640528,0.596304578188094,FALSE
"glen",44,0.000168283205336107,44,2.61028095106456e-12,"glen",9.54722815075584,0.595541086846251,FALSE
"variety",238,0.000910259156136218,14.875,6.25456284368409e-52,"variety",8.52016063414971,0.594689191501181,FALSE
"glens",15,5.73692745464003e-05,Inf,6.10229017413217e-05,"glens",10.1923070728352,0.592820277597643,FALSE
"clustered",11,4.20708013340269e-05,Inf,0.000976459791421748,"clustered",10.3089094033593,0.591919861820513,FALSE
"and",12228,0.0467674326102255,1.40810686319668,1.24613318759226e-138,"and",6.14191479120588,0.591731843385373,TRUE
"prospects",43,0.000164458587033014,43,5.10748169691492e-12,"prospects",9.48721909733041,0.591322545782784,FALSE
"trees",337,0.00128889636814246,13.48,5.36828013827717e-71,"trees",8.30523577970283,0.5898434181738,FALSE
"rocks",183,0.000699905149466083,18.3,2.55175092553623e-42,"rocks",8.63486498868636,0.589830565367549,FALSE
"pleasingly",14,5.35446562433069e-05,Inf,0.000122049071107904,"pleasingly",10.1450920628406,0.589126589115234,FALSE
"fanciful",28,0.000107089312486614,28,1.1168353020256e-07,"fanciful",9.64954171209314,0.589033831956282,FALSE
"antiquities",62,0.000237126334791788,20.6666666666667,2.47610314750011e-15,"antiquities",9.14390150492348,0.589003889155057,FALSE
"tastefully",6,2.29477098185601e-05,Inf,0.0312491036085136,"tastefully",10.705216961164,0.588851626592368,FALSE
"impressive",20,7.6492366061867e-05,Inf,1.90665571921569e-06,"impressive",9.88473926774683,0.588604150043113,FALSE
