Term,NObs,FreqObs,Obs.Exp,pValue,PMI_Term,PMI,NPMI,Stopword
hyacinthin,86,2.31E-05,Inf,2.58E-26,hyacinthin,12.85565585,0.836899092,FALSE
sultanian,12,3.23E-06,Inf,0.000488277,sultanian,14.3304888,0.832622804,FALSE
pathetic,1684,0.00045263,67.36,0,pathetic,10.1863812,0.827866527,FALSE
sublime,3395,0.000912517,39.94117647,0,sublime,9.544629734,0.815171517,FALSE
the,249306,0.067009132,1.086442672,4.68E-193,the,5.951791813,0.804520424,TRUE
sublimeness,63,1.69E-05,Inf,2.17E-19,sublimeness,12.45263581,0.798624365,FALSE
genius,4556,0.001224574,19.72294372,0,genius,8.909836024,0.785746507,FALSE
beautiful,4994,0.001342301,17.10273973,0,beautiful,8.801208807,0.78477243,FALSE
and,156456,0.042052661,1.266142803,0,and,6.134682189,0.783082593,TRUE
style,3639,0.0009781,21.92168675,0,style,9.007402574,0.778178344,FALSE
animations,42,1.13E-05,Inf,4.55E-13,animations,12.33520557,0.77809236,FALSE
of,172744,0.046430593,1.189115515,0,of,6.036008001,0.776745719,TRUE
tenebrious,57,1.53E-05,Inf,1.39E-17,tenebrious,12.40252546,0.774128496,FALSE
sublimatory,26,6.99E-06,Inf,2.98E-08,sublimatory,12.70110653,0.767055565,FALSE
grandeur,2429,0.000652873,26.11827957,0,grandeur,9.166197085,0.764298156,FALSE
truths,2306,0.000619813,21.35185185,0,truths,9.088465582,0.762495031,FALSE
imagery,549,0.000147562,68.625,9.22E-151,imagery,10.19542809,0.75780213,FALSE
lofty,2166,0.000582183,25.48235294,0,lofty,9.155816713,0.756799456,FALSE
clime,1016,0.000273083,56.44444444,2.54E-273,clime,9.796898453,0.752789398,FALSE
ideas,3714,0.000998259,14.28461538,0,ideas,8.644072263,0.752446973,FALSE
pathos,412,0.000110738,82.4,6.07E-115,pathos,10.29823919,0.751961625,FALSE
conceptions,977,0.000262601,39.08,2.26E-252,conceptions,9.641162283,0.750371614,FALSE
barmie,19,5.11E-06,Inf,3.81E-06,barmie,12.67394281,0.746371738,FALSE
sublimity,407,0.000109395,37,4.49E-105,sublimity,9.937621398,0.74566888,FALSE
climb,1070,0.000287597,46.52173913,4.24E-282,climb,9.621287159,0.742542201,FALSE
poetry,2379,0.000639434,21.05309735,0,poetry,8.934901188,0.742465742,FALSE
resublime,13,3.49E-06,Inf,0.000244138,resublime,12.8083929,0.740443453,FALSE
mysteries,1219,0.000327646,26.5,1.18E-296,mysteries,9.275765118,0.7371755,FALSE
elevated,1373,0.000369039,26.40384615,0,elevated,9.212717965,0.734872344,FALSE
most,12472,0.003352257,4.359314925,0,most,7.450000147,0.724404012,TRUE
bombast,241,6.48E-05,80.33333333,1.71E-67,bombast,10.37266526,0.723067427,FALSE
scenery,549,0.000147562,42.23076923,1.04E-143,scenery,9.699422459,0.720726352,FALSE
sentiment,1856,0.000498861,16.57142857,0,sentiment,8.74698517,0.715127077,FALSE
speculations,625,0.000167989,29.76190476,1.01E-155,speculations,9.44017808,0.714158818,FALSE
undramatically,8,2.15E-06,Inf,0.007812471,undramatically,12.8560601,0.710361843,FALSE
noble,4466,0.001200383,8.426415094,0,noble,8.061449622,0.709672654,FALSE
majestic,764,0.00020535,30.56,7.18E-191,majestic,9.314823815,0.708031788,FALSE
contemplations,332,8.92E-05,47.42857143,1.74E-88,contemplations,9.819896107,0.707246103,FALSE
milton,1201,0.000322808,21.07017544,1.27E-279,milton,8.950688802,0.704832518,FALSE
colloquy,117,3.14E-05,58.5,2.15E-32,colloquy,10.45096774,0.704660916,FALSE
rhyme,1186,0.000318776,26.95454545,1.61E-289,rhyme,9.049784028,0.703864217,FALSE
eloquence,1545,0.000415269,17.16666667,0,eloquence,8.744101304,0.702636288,FALSE
energic,48,1.29E-05,Inf,7.10E-15,energic,11.05732864,0.700137846,FALSE
soaring,301,8.09E-05,50.16666667,8.61E-81,soaring,9.816439608,0.699012851,FALSE
in,79953,0.021489981,1.101690711,2.81E-81,in,5.957267077,0.697275219,TRUE
loftiness,187,5.03E-05,62.33333333,1.45E-51,loftiness,10.14154606,0.696999585,FALSE
awful,1522,0.000409087,15.22,0,awful,8.660545795,0.696964831,FALSE
soar,558,0.000149981,29.36842105,7.25E-139,soar,9.348833668,0.696626542,FALSE
exalted,1544,0.000415,14.84615385,0,exalted,8.622606634,0.693678015,FALSE
