"Year","sublime_raw_freq","sublime_raw_prob","sublime_smoothed_avg_3","sublime_smoothed_avg_5","sublime_smoothed_avg_7","sublime_smoothed_avg_9","sublime_smoothed_avg_11","grotesque_raw_freq","grotesque_raw_prob","grotesque_smoothed_avg_3","grotesque_smoothed_avg_5","grotesque_smoothed_avg_7","grotesque_smoothed_avg_9","grotesque_smoothed_avg_11","beautiful_raw_freq","beautiful_raw_prob","beautiful_smoothed_avg_3","beautiful_smoothed_avg_5","beautiful_smoothed_avg_7","beautiful_smoothed_avg_9","beautiful_smoothed_avg_11","picturesque_raw_freq","picturesque_raw_prob","picturesque_smoothed_avg_3","picturesque_smoothed_avg_5","picturesque_smoothed_avg_7","picturesque_smoothed_avg_9","picturesque_smoothed_avg_11","arabesque_raw_freq","arabesque_raw_prob","arabesque_smoothed_avg_3","arabesque_smoothed_avg_5","arabesque_smoothed_avg_7","arabesque_smoothed_avg_9","arabesque_smoothed_avg_11","aesthetic_raw_freq","aesthetic_raw_prob","aesthetic_smoothed_avg_3","aesthetic_smoothed_avg_5","aesthetic_smoothed_avg_7","aesthetic_smoothed_avg_9","aesthetic_smoothed_avg_11"
1660,1,148.08233377758,74.0411668887902,49.3607779258601,37.0205834443951,29.6164667555161,24.6803889629301,0,0,0,0,0,0,0,0,0,304.506699147381,254.772338956358,191.079254217269,152.863403373815,127.386169478179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1661,0,0,49.3607779258601,37.0205834443951,29.6164667555161,24.6803889629301,21.1546191110829,0,0,0,0,0,0,0,1,609.013398294762,254.772338956358,191.079254217269,152.863403373815,127.386169478179,109.188145267011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1662,0,0,0,29.6164667555161,24.6803889629301,21.1546191110829,18.5102917221975,0,0,0,0,0,0,0,1,155.303618574313,254.772338956358,152.863403373815,127.386169478179,109.188145267011,176.272683258475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1663,0,0,0,0,21.1546191110829,18.5102917221975,16.4535926419534,0,0,0,0,0,0,0,0,0,51.7678728581043,152.863403373815,109.188145267011,176.272683258475,222.423324821844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1664,0,0,0,0,0,16.4535926419534,14.808233377758,0,0,0,0,0,0,0,0,0,0,31.0607237148626,201.454495152543,222.423324821844,200.18099233966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1665,0,0,0,0,0,0,13.4620303434164,0,0,0,0,0,0,0,0,0,0,129.172889839745,198.970932157405,222.423324821844,204.562285050039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.288149732908,247.498581305504,176.784700932503,182.352415250629,218.374058205476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,645.864449198724,412.497635509174,247.498581305504,212.266874097336,181.977513710129,191.8829820933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1668,0,0,0,0,0,0,2.91571541451268,0,0,0,0,0,0,0,4,591.628457328797,412.497635509174,297.17362373627,233.971089055881,217.267687161332,195.258763800893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669,0,0,0,0,0,3.56365217329328,27.2034768115447,0,0,0,0,0,0,0,0,0,280.001223160875,327.559524678233,279.344169207427,238.649600201091,207.402644499409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1670,0,0,0,0,4.58183850851993,33.2486938807769,27.2034768115447,0,0,0,0,0,0,0,6,248.375212153827,133.434905621214,261.908947050652,306.835200258546,253.492121054833,246.82549398297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1671,0,0,0,6.4145739119279,42.748320703856,33.2486938807769,27.2034768115447,0,0,0,0,0,0,0,1,151.929504709815,239.305425974821,182.07069905646,233.652091470682,301.675603756963,246.82549398297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1672,0,0,10.6909565198798,59.8476489853984,42.748320703856,33.2486938807769,27.2034768115447,0,0,0,0,0,0,0,4,317.611561060823,220.659427709491,208.787236593196,211.083932469306,229.912887179327,266.694885847116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1673,1,32.0728695596395,99.7460816423306,59.8476489853984,42.748320703856,33.2486938807769,27.2034768115447,0,0,0,0,0,0,0,6,192.437217357837,214.543822034112,245.842463026264,211.083932469306,188.461204198973,234.893368862898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1674,2,267.165375367352,99.7460816423306,59.8476489853984,42.748320703856,33.2486938807769,34.3414393515173,0,0,0,0,0,0,0,1,133.582687683676,253.223749786894,215.456562084301,206.825089376704,221.35540001812,209.66081381108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1675,0,0,89.0551251224508,59.8476489853984,42.748320703856,41.9728703185212,45.0215487158372,0,0,0,0,0,0,0,2,433.651344319167,189.078010667615,195.646911973258,227.41341189992,228.654859974228,228.35100519864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676,0,0,0,53.4330750734705,53.9651189809558,55.0263373193566,45.0215487158372,0,0,0,0,0,0,0,0,0,217.404884941592,216.369020976157,226.907524856773,234.617371146822,254.670299280265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1677,0,0,0,15.7035175879397,66.16630947351,55.0263373193566,45.0215487158372,0,0,0,0,0,0,0,3,218.56331050561,171.537024292646,252.46655379118,228.786794557534,259.092469590253,283.967239114201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1678,0,0,26.1725293132328,39.1997581894435,27.9998272781739,51.4626851460633,45.0215487158372,0,0,0,0,0,0,0,6,296.047762372329,276.227141545578,206.854705979978,286.544617324395,290.398983537506,291.054335404414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1679,2,78.5175879396985,65.3329303157391,39.1997581894435,27.9998272781739,21.7776434385797,42.1058333013245,0,0,0,0,0,0,0,8,314.070351758794,271.90340646476,314.432195390319,292.336688547815,319.508642711893,307.456049967707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
